date,content,reaction_count,top_react,comment_count,title,day_diff
02/02,"['Lon đỏ Rồng vàng, vận may ngập trànLì xì lộc phát, diệu kỳ trao tay😉', 'Chỉ còn vài ngày nữa tới Tết, bạn đã mang COCA-COLA về nhà chưa? Tết 2024, trao thùng COCA-COLA phiên bản khuyến mãi Tết đặc biệt, trao hi vọng cho năm mới bứt phá & cơ hội trúng thưởng lên tới 5 tỷ đồng✌️--------Chương...']",12240,"['Like', 'Heart']",121,"Lon đỏ Rồng vàng, vận may ngập trànLì xì lộc phát, diệu kỳ trao tay😉",
05/02,"['LỘC RỒNG CẬN TẾT GỌI TÊN 2 NGƯỜI CHƠI MAY MẮN NHẤT!', '02 tay săn iPhone 15 Pro đỉnh nhất tuần này đã nắm trong tay chiếc điện thoại mới để đón Tết Giáp Thìn, còn bạn thì sao?🙌', 'Cơ hội trúng thưởng vẫn đang chờ đón trong các thùng COCA-COLA, SPRITE và FANTA, rinh ngay thôi để mở bát năm mới có iPhone...']",66,"['Like', 'Heart']",25,LỘC RỒNG CẬN TẾT GỌI TÊN 2 NGƯỜI CHƠI MAY MẮN NHẤT!,3.0
08/02,"['LỘC RỒNG VỀ TAY 02 CHIẾN THẦN NGAY TRƯỚC THỀM NĂM MỚI😘', 'Năm mới chưa tới mà Lộc Rồng đã gõ cửa🤗Hàng ngàn giải lộc phát may mắn trong các thùng COCACOLA, FANTA và SPRITE có nhãn khuyến mãi Tết vẫn đang chờ các bạn săn ngay cho những ngày đầu năm mới nhé!', 'Rinh ngay cho cả năm mới thịnh vượng thôi ...']",61,"['Like', 'Heart']",33,LỘC RỒNG VỀ TAY 02 CHIẾN THẦN NGAY TRƯỚC THỀM NĂM MỚI😘,3.0
10/02,"['Mở bát năm 2024 bằng thật nhiều ""Hy vọng"" cùng COCA-COLA nha🥰Mong rằng năm 2024 sẽ như ý muốn của bạn nha🫶', '#CocaColaVN#GanKetLamNenTetDieuKy']",2136,"['Like', 'Heart']",105,"Mở bát năm 2024 bằng thật nhiều ""Hy vọng"" cùng COCA-COLA nha🥰Mong rằng năm 2024 sẽ như ý muốn của bạn nha🫶",2.0
12/02,"['Đang chơi mà sao thấy cấn cấn ngang á😂', '#CocaColaVN#GanKetLamNenTetDieuKy']",617,"['Like', 'Heart']",23,Đang chơi mà sao thấy cấn cấn ngang á😂,2.0
19/02,"['MỞ BÁT NĂM RỒNG: LỘC RỒNG VỀ TAY 02 CHÀNG TRAI MAY MẮN NHẤT!', 'Mở màn năm Giáp Thìn với lộc rồng iPhone 15 Pro quá đỉnh rồi! Chỉ còn 2 tuần nữa để săn 04 chiếc iPhone 15 Pro thôi các bạn ơi, rinh ngay thùng COCA-COLA, FANTA và SPRITE có nhãn khuyến mãi Tết và nhập mã dự thưởng thôi nào!-------- ...']",52,"['Like', 'Heart']",6,MỞ BÁT NĂM RỒNG: LỘC RỒNG VỀ TAY 02 CHÀNG TRAI MAY MẮN NHẤT!,7.0
23/02,"['CHỈ CÒN 1 TUẦN ĐỂ SỞ HỮU 2 CHIẾC IPHONE 15 PRO CUỐI CÙNG CỦA KHUYẾN MÃI TẾT DIỆU KỲ🔥', 'Hết mùng là hết Tết nhưng COCA-COLA vẫn còn 02 chiếc iPhone 15 Pro dành cho 02 người may mắn cuối cùng của đợt khuyến mãi Tết này nhé các bạn ơi!!', 'Bình luận xin vía may mắn và tìm ngay mã dự thưởng trong thùng...']",53,"['Like', 'Heart', 'Wow']",11,CHỈ CÒN 1 TUẦN ĐỂ SỞ HỮU 2 CHIẾC IPHONE 15 PRO CUỐI CÙNG CỦA KHUYẾN MÃI TẾT DIỆU KỲ🔥,4.0
01/03,[],111,"['Like', 'Heart', 'Wow']",2,,6.0
01/03,"['📣TIN CHUẨN: LẦN ĐẦU TIÊN#COCACOLACREATIONSCÓ MẶT TẠI VIỆT NAM', 'Đó chính là phiên bản giới hạn K-Wave, lấy cảm hứng từ sự hâm mộ cuồng nhiệt của cộng đồng K-Fandom toàn cầu dành cho những thần tượng của mình - Một phiên bản COCA-COLA Không Đường được sáng tạo thêm với ""nốt hương"" mới lạ!', 'Cuộc vui...']",3227,"['Like', 'Heart', 'Wow']",209,📣TIN CHUẨN: LẦN ĐẦU TIÊN#COCACOLACREATIONSCÓ MẶT TẠI VIỆT NAM,0.0
03/03,"['CHỐT BẢNG CHỦ NHÂN 02 CHIẾC IPHONE 15 PRO CUỐI CÙNG CỦA CTKM TẾT DIỆU KỲ!', 'COCA-COLA một lần nữa xin chúc mừng tất cả các người tham gia may mắn đã sở hữu những chiếc điện thoại mới cho một năm mới phồn thịnh;)Giải đặc biệt cuối cùng của CTKM sẽ được công bố trong vài ngày nữa, các bạn hãy theo...']",85,"['Like', 'Heart', 'Sad']",13,CHỐT BẢNG CHỦ NHÂN 02 CHIẾC IPHONE 15 PRO CUỐI CÙNG CỦA CTKM TẾT DIỆU KỲ!,2.0
08/03,"['🤩Dừng khoảng chừng là 5 giây để đắm chìm vào vũ trụ K-Pop được “cất giấu"" trong một chiếc hộp vô cùng đặc biệt.', 'Thả❤️nếu bạn muốn sở hữu hộp quà giới hạn này. Những thông tin thú vị tiếp theo sẽ sớm được COCA-COLA bật mí trong những ngày tới!', '#CocaColaKwave#CocaColaCreations#RealMagic']",736,"['Like', 'Heart', 'Wow']",68,"🤩Dừng khoảng chừng là 5 giây để đắm chìm vào vũ trụ K-Pop được “cất giấu"" trong một chiếc hộp vô cùng đặc biệt.",5.0
11/03,"['“CHEAP MOMENT” CÙNG IDOL VÀ TRỞ THÀNH 1 TRONG NHỮNG NGƯỜI ĐẦU TIÊN “CHẠM TAY” VÀO PHIÊN BẢN GIỚI HẠN K-WAVE', 'Nhận ngay 1 lon Coca-Cola K-Wave hoàn toàn miễn phí* khi có mặt tại góc check-in đầy màu sắc tại 1 trong 2 địa điểm CGV dưới đây, từ 18h-20h ngày 15/03/2024:📌TPHCM: CGV Vạn Hạnh Mall, Tầng...']",386,"['Like', 'Heart', 'Sad']",26,“CHEAP MOMENT” CÙNG IDOL VÀ TRỞ THÀNH 1 TRONG NHỮNG NGƯỜI ĐẦU TIÊN “CHẠM TAY” VÀO PHIÊN BẢN GIỚI HẠN K-WAVE,3.0
13/03,"['LỘC RỒNG 1 TỶ ĐÃ ĐƯỢC TRAO, CHÍNH THỨC KHÉP LẠI KHUYẾN MẠI TẾT DIỆU KỲ', 'COCA-COLA xin chúc mừng ""trùm cuối"" may mắn nhất đã trở thành chủ sở hữu của Giải Đặc Biệt trị giá 1 tỷ đồng của chương trình khuyến mãi Tết Diệu Kỳ🥳', 'Một lần nữa COCA-COLA xin cảm ơn tất cả người chơi, COCA-COLA sẽ sớm gặp lại...']",77,"['Like', 'Heart']",40,"LỘC RỒNG 1 TỶ ĐÃ ĐƯỢC TRAO, CHÍNH THỨC KHÉP LẠI KHUYẾN MẠI TẾT DIỆU KỲ",2.0
19/03,"[""'CÀN QUÉT' QUÁN ĐỈNH KHẮP SÀI GÒN VỚI#FOODMARKSCỦA COCA-COLA💯"", '📸Tada, Foodmarks của COCA-COLA cùng những món ngon của các quán siêu đỉnh đã có mặt tại những địa điểm hot khắp Sài Gòn rồi đây. Mấy ní đã sẵn sàng rủ rê bạn bè cùng lập hội điểm danh cùng COCA-COLA chưa nào?', 'Zôhttps://cokeurl.com/...']",7673,"['Like', 'Heart']",102,'CÀN QUÉT' QUÁN ĐỈNH KHẮP SÀI GÒN VỚI#FOODMARKSCỦA COCA-COLA💯,6.0
20/03,"['Trong thời gian chờ đợi, đừng quên uống COCA-COLA nhé😁']",324,"['Like', 'Heart']",0,"Trong thời gian chờ đợi, đừng quên uống COCA-COLA nhé😁",1.0
20/03,"['#FOODMARKSCỦA COCA-COLA CHECK-IN HÀ NỘI & ĐÀ NẴNG, CÁC BÁC ĐÃ SẴN SÀNG ĂN SẬP QUÁN ĐỈNH CHƯA?', 'Coca-Cola Foodmark tập hợp tất-tần-tật những quán ngon đỉnh đã đổ bộ đến Thủ Đô và Xứ Đà rồi đó! Có ai nhận ra các địa điểm ăn uống cực hot nào bên dưới không?', 'Nhanh clickhttps://cokeurl.com/FoodmarksVN...']",573,"['Like', 'Heart']",27,"#FOODMARKSCỦA COCA-COLA CHECK-IN HÀ NỘI & ĐÀ NẴNG, CÁC BÁC ĐÃ SẴN SÀNG ĂN SẬP QUÁN ĐỈNH CHƯA?",0.0
21/03,"['200 LON COCA-COLA K-WAVE ĐẦU TIÊN ĐÃ ĐƯỢC SỞ HỮU!!!🙌', '☝Sự đổ bộ chính thức của phiên bản giới hạn COCA-COLA K-WAVE xuống “tọa độ” CGV Vạn Hạnh Mall & CGV Times City đã hâm nóng một buổi tối thứ 6 của hàng trăm bạn trẻ tại 2 đầu cầu TPHCM và Hà Nội.', '2 hộp quà K-Wave độc đáo cùng 8 lightstick K-Wave...']",134,"['Like', 'Heart']",55,200 LON COCA-COLA K-WAVE ĐẦU TIÊN ĐÃ ĐƯỢC SỞ HỮU!!!🙌,1.0
24/03,"['Nghe K-Pop🎶, xem K-Pop🪩, nhưng bạn đã biết K-Pop có vị gì chưa😜?', '3 bích đi trước nè:🍬😝🥰', 'Săn ngay phiên bản giới hạn COCA-COLA K-WAVE để trải nghiệm và cùng chia sẻ nhé!', '#CocaColaKWave#CocaColaCreations#RealMagic']",35,"['Like', 'Heart']",41,"Nghe K-Pop🎶, xem K-Pop🪩, nhưng bạn đã biết K-Pop có vị gì chưa😜?",3.0
27/03,"['COCA-COLA FOODMARKS KẾT HỢP CÙNG VTV3, LÊN SÓNG CHƯƠNG TRÌNH “QUÁN QUEN CHÍNH GỐC”👉Xem ngay tại:https://cokeurl.com/Foodmarks_Quanquen', 'Chương trình là hành trình tôn vinh những quán đỉnh cùng những câu chuyện truyền cảm hứng, hứa hẹn mang đến cho bạn nhiều bất ngờ và những dư vị đặc biệt khó...']",312,"['Like', 'Heart', 'Wow']",5,"COCA-COLA FOODMARKS KẾT HỢP CÙNG VTV3, LÊN SÓNG CHƯƠNG TRÌNH “QUÁN QUEN CHÍNH GỐC”👉Xem ngay tại:https://cokeurl.com/Foodmarks_Quanquen",3.0
01/04,"['Nghe nhiều bạn bảo tìm mãi không thấy đâu có...thì đây nè👇🏻', '#CocaColaKwave#CocaColaCreations#RealMagic']",1051,"['Like', 'Heart']",52,Nghe nhiều bạn bảo tìm mãi không thấy đâu có...thì đây nè👇🏻,5.0
03/04,"['SẴN SÀNG BẬT VIBE HỨNG KHỞI GIỜ NGHỈ VỚI LOẠT TRẢI NGHIỆM ÂM NHẠC TỪ COCA-COLA!', '👍Bạn muốn COCA-COLA góp mặt tại các sự kiện âm nhạc & những trường Đại học nào? Bình luận liền nha😉👍Sẵn sàng tham gia Dance Challenge trên con beat cực cháy từ WOKEUP và nhận loạt quà chất từ COCA-COLA nhé😎', 'Không...']",1531,"['Like', 'Heart']",11,SẴN SÀNG BẬT VIBE HỨNG KHỞI GIỜ NGHỈ VỚI LOẠT TRẢI NGHIỆM ÂM NHẠC TỪ COCA-COLA!,2.0
05/04,"['Số lượng cực kỳ giới hạn, và chỉ có thể tìm thấy tại:🌟TPHCM: CGV Vạn Hạnh Mall🌟Hà Nội: CGV Times City', 'Chưa bao giờ sở hữu một phiên bản giới hạn của COCA-COLA lại gần trong tầm tay đến vậy, bỏ lỡ chỉ có tiếc thui nhen🥱', '#CocaColaKwave#CocaColaCreations#RealMagic']",64,"['Like', 'Heart', 'Angry']",3,"Số lượng cực kỳ giới hạn, và chỉ có thể tìm thấy tại:🌟TPHCM: CGV Vạn Hạnh Mall🌟Hà Nội: CGV Times City",2.0
06/04,"['[MINIGAME] BẮT KHOẢNH KHẮC: MÓN NGON HỢP CẠ VỚI COCA-COLA NHẤT, NHẬN NGAY QUÀ NO CĂNG BỤNG', '😍Chương trình “Quán quen chính gốc” đã lên sóng và giới thiệu các quán đỉnh của chóp như: bánh mì Bảy Hổ, cơm tấm Thuận Kiều, phở Thìn Bờ Hồ, bún ốc Bà Ngoại, hay nem lụi Tài Phú. Bạn thấy món nào trong 05...']",2336,"['Like', 'Heart', 'Wow']",5646,"[MINIGAME] BẮT KHOẢNH KHẮC: MÓN NGON HỢP CẠ VỚI COCA-COLA NHẤT, NHẬN NGAY QUÀ NO CĂNG BỤNG",1.0
07/04,"['Hôm nay giải lao với một chiếc phim Hàn mới nhất mang tên K-Wave không mấy ""fen""?', '""Bộ phim"" được lấy cảm hứng từ sự hâm mộ cuồng nhiệt mà người hâm mộ dành cho các K-Pop idols🤭Thử ngay vì ""phim"" chỉ lên sóng đến hết tháng 5 thôi😈', '#CocaColaKwave#CocaColaCreations#RealMagic']",60,"['Like', 'Heart', 'Angry']",8,"Hôm nay giải lao với một chiếc phim Hàn mới nhất mang tên K-Wave không mấy ""fen""?",1.0
13/04,"['🙌COCA-COLA x NHỮNG THÀNH PHỐ MƠ MÀNG: LẦN ĐẦU ĐỒNG HÀNH - TẶNG BẠN TRẢI NGHIỆM HỨNG KHỞI!', 'Đánh dấu sự đồng hành cùng chuỗi sự kiện âm nhạc Những Thành Phố Mơ Màng & rapper Obito, COCA-COLA tặng bạn:', '🔥25 VÉ TỚI SUMMER SHOW HÀ NỘI (20/04 tại Công Viên Yên Sở, Hà Nội) với dàn line-up đình đám:...']",1713,"['Like', 'Heart']",3772,🙌COCA-COLA x NHỮNG THÀNH PHỐ MƠ MÀNG: LẦN ĐẦU ĐỒNG HÀNH - TẶNG BẠN TRẢI NGHIỆM HỨNG KHỞI!,6.0
15/04,[],78,"['Like', 'Heart']",2,,2.0
15/04,"['[MINI GAME] Khoe “bill” K-Wave ngay dưới bài này đi!👇🏻', 'Phiên bản giới hạn COCA-COLA K-WAVE đã có thể sở hữu dễ dàng hơn trong tháng 4 này khi bạn mua COCA-COCA KHÔNG ĐƯỜNG tại cửa hàng tiện lợi!!!☺️Săn ngay để có thêm cơ hội nhận quà xinh yêu khi làm đúng các bước sau nè:🎈Bước 1: Chụp lại hoá...']",495,"['Like', 'Heart', 'Sad']",91,[MINI GAME] Khoe “bill” K-Wave ngay dưới bài này đi!👇🏻,0.0
18/04,"['Cơ hội duy nhất để trên tay photobook* ""xịn đét"" đánh dấu sự hợp tác với các idols nhà JYP - Stray Kids, NMIXX, ITZY, trong dự án COCA-COLA CREATIONS K-WAVE!!', '#CocaColaKwave#CocaColaCreations#RealMagic', '*Số lượng cực giới hạn và có thể kết thúc sớm hơn khi hết quà.']",275,"['Like', 'Heart', 'Wow']",7,"Cơ hội duy nhất để trên tay photobook* ""xịn đét"" đánh dấu sự hợp tác với các idols nhà JYP - Stray Kids, NMIXX, ITZY, trong dự án COCA-COLA CREATIONS K-WAVE!!",3.0
18/04,"['🔥COMING SOON...FOODMARKS KẾT HỢP CÙNG HOÀ MINZY VÀ RHYDER KỂ CHUYỆN HAY CỦA QUÁN ĐỈNH', '👉Cùng chờ đón MV nóng hổi sắp ra mắt!Và đừng quên nhấn vào link:https://foodmarks.coca-cola.comtìm ngay quán đỉnh, ăn ngon cùng Coca-Cola mát lạnh bạn nhé!', '#CocaColaVN#Foodmarks#SuKetHopDieuKy']",187,"['Like', 'Heart', 'Wow']",41,🔥COMING SOON...FOODMARKS KẾT HỢP CÙNG HOÀ MINZY VÀ RHYDER KỂ CHUYỆN HAY CỦA QUÁN ĐỈNH,0.0
19/04,"['GIỜ NGHỈ ĐU ""CHIẾC"" TREND HAY, NHẬN QUÀ HỨNG KHỞI TỪ COCA-COLA!', '15 phút giải lao không còn nhàm chán với điệu nhảy Bật Vibe Hứng Khởi trên con beat cực cháy của COCA-COLA, được remix bởi producer WOKEUP & TRID MINH!! Ới ngay mấy nhỏ bạn & đồng nghiệp nhún nhảy để có ngay ""clip triệu views"" và cơ...']",62635,"['Like', 'Heart']",4669,"GIỜ NGHỈ ĐU ""CHIẾC"" TREND HAY, NHẬN QUÀ HỨNG KHỞI TỪ COCA-COLA!",1.0
23/04,[],30,"['Like', 'Heart', 'Angry']",1,,4.0
23/04,"['""TOẠ ĐỘ"" QUÁN ĐỈNH CỦA ĐỈNH ĐÃ CÓ MẶT TẠI COCA-COLA FOODMARK: PHỞ GÀ KỲ ĐỒNG', 'Coca-Cola Foodmark tự tin vỗ ngực xưng danh: ""ở đây, chúng toy khum có quán đỉnh nhất chỉ có quán đỉnh của đỉnh!"". Giới thiệu quán Phở Gà Kỳ Đồng nổi danh suốt 40 năm, được gọi tên trong cẩm nang ẩm thực Michelin nay đã gia...']",145,"['Like', 'Heart', 'Angry']",12,"""TOẠ ĐỘ"" QUÁN ĐỈNH CỦA ĐỈNH ĐÃ CÓ MẶT TẠI COCA-COLA FOODMARK: PHỞ GÀ KỲ ĐỒNG",0.0
24/04,"['COCA-COLA FOODFEST – Siêu lễ hội ẩm thực Coca-Cola đổ bộ Hà Thành🙌', '📅Thời gian: 9:00 - 22:00 | 04-05/5/2024📍Địa điểm: Cung thiếu nhi Hà Nội | 36 - 38 Lý Thái Tổ - Quận Hoàn Kiếm.', '✅Mở cửa tự do.✅24 quán Foodmarks đỉnh trên khắp cả nước tụ họp, cùng loạt món ngon nức tiếng!✅Vô vàn deal khủng...']",2898,"['Like', 'Heart']",129,COCA-COLA FOODFEST – Siêu lễ hội ẩm thực Coca-Cola đổ bộ Hà Thành🙌,1.0
25/04,"['THÊM CƠ HỘI SĂN COCA-COLA K-WAVE TRONG TẦM TAY', 'Các tín đồ của Texas Chicken chắc chắn sẽ không muốn bỏ qua thông tin tuyệt vời này rồi.Một WOW COMBO với giá ưu đãi chỉ 129,000đ mà lại còn có quà tặng siêu giới hạn, chờ gì mà không nhanh tay ""chớp"" lấy?', '#CocaColaKwave#CocaColaCreations#RealMagic...']",4177,"['Like', 'Heart']",140,THÊM CƠ HỘI SĂN COCA-COLA K-WAVE TRONG TẦM TAY,1.0
26/04,"['Nhanh trí chọn COCA-COLA K-WAVE để tăng xác suất K-Bingo liền😎', '#CocaColaKwave#CocaColaCreations#RealMagic']",48,"['Like', 'Heart', 'Angry']",4,Nhanh trí chọn COCA-COLA K-WAVE để tăng xác suất K-Bingo liền😎,1.0
